id,name,year,category,country
1,Galápagos Islands,1978,Natural,Ecuador
2,City of Quito,1978,Cultural,Ecuador
3,Aachen Cathedral ,1978,Cultural,Germany
4,L’Anse aux Meadows National Historic Site,1978,Cultural,Canada
8,Ichkeul National Park,1980,Natural,Tunisia
9,Simien National Park,1978,Natural,Ethiopia
10,Lower Valley of the Awash,1980,Cultural,Ethiopia
12,Tiya,1980,Cultural,Ethiopia
15,Aksum,1980,Cultural,Ethiopia
17,Lower Valley of the Omo,1980,Cultural,Ethiopia
18,Rock-Hewn Churches - Lalibela,1978,Cultural,Ethiopia
19,Fasil Ghebbi - Gondar Region,1979,Cultural,Ethiopia
20,Ancient City of Damascus,1979,Cultural,Syrian Arab Republic
21,Ancient City of Aleppo,1986,Cultural,Syrian Arab Republic
22,Ancient City of Bosra,1980,Cultural,Syrian Arab Republic
23,Site of Palmyra,1980,Cultural,Syrian Arab Republic
24,Nahanni National Park,1978,Natural,Canada
25,Djoudj National Bird Sanctuary,1981,Natural,Senegal
26,Island of Gorée,1978,Cultural,Senegal
27,Mesa Verde National Park,1978,Cultural,United States of America
28,Yellowstone National Park,1978,Natural,United States of America
29,Historic Centre of Kraków,1978,Cultural,Poland
30,Historic Centre of Warsaw,1980,Cultural,Poland
31,Auschwitz Birkenau German Nazi Concentration and Extermination Camp (1940-1945),1979,Cultural,Poland
32,Wieliczka and Bochnia Royal Salt Mines,1978,Cultural,Poland
34,Forts and Castles - Volta - Greater Accra - Central and Western Regions,1979,Cultural,Ghana
35,Asante Traditional Buildings,1980,Cultural,Ghana
36,Medina of Tunis,1979,Cultural,Tunisia
37,Archaeological Site of Carthage,1979,Cultural,Tunisia
38,Amphitheatre of El Jem,1979,Cultural,Tunisia
39,Ngorongoro Conservation Area,1979,Mixed,United Republic of Tanzania
42,Boyana Church,1979,Cultural,Bulgaria
43,Madara Rider,1979,Cultural,Bulgaria
44,Thracian Tomb of Kazanlak,1979,Cultural,Bulgaria
45,Rock-Hewn Churches of Ivanovo,1979,Cultural,Bulgaria
55,Røros Mining Town and the Circumference,1980,Cultural,Norway
58,Urnes Stave Church,1979,Cultural,Norway
59,Bryggen,1979,Cultural,Norway
63,Virunga National Park,1979,Natural,Democratic Republic of the Congo
64,Tikal National Park,1979,Mixed,Guatemala
65,Antigua Guatemala,1979,Cultural,Guatemala
71,Dinosaur Provincial Park,1979,Natural,Canada
75,Grand Canyon National Park,1979,Natural,United States of America
76,Everglades National Park,1979,Natural,United States of America
78,Independence Hall,1979,Cultural,United States of America
79,Paphos,1980,Cultural,Cyprus
80,Mont-Saint-Michel and its Bay,1979,Cultural,France
81,Chartres Cathedral,1979,Cultural,France
83,Palace and Park of Versailles,1979,Cultural,France
84,Vézelay - Church and Hill,1979,Cultural,France
85,Prehistoric Sites and Decorated Caves of the Vézère Valley,1979,Cultural,France
86,Memphis and its Necropolis – the Pyramid Fields from Giza to Dahshur,1979,Cultural,Egypt
87,Ancient Thebes with its Necropolis,1979,Cultural,Egypt
88,Nubian Monuments from Abu Simbel to Philae,1979,Cultural,Egypt
89,Historic Cairo,1979,Cultural,Egypt
90,Abu Mena,1979,Cultural,Egypt
93,Church and Dominican Convent of Santa Maria delle Grazie with “The Last Supper” by Leonardo da Vinci,1980,Cultural,Italy
94,Rock Drawings in Valcamonica,1979,Cultural,Italy
95,Old City of Dubrovnik,1979,Cultural,Croatia
96,Stari Ras and Sopo?ani,1979,Cultural,Serbia
97,Historical Complex of Split with the Palace of Diocletian,1979,Cultural,Croatia
98,Plitvice Lakes National Park,1979,Natural,Croatia
99,Natural and Cultural Heritage of the Ohrid region,1979,Mixed,the former Yugoslav Republic of Macedonia
100,Durmitor National Park,1980,Natural,Montenegro
102,Al Qal'a of Beni Hammad,1980,Cultural,Algeria
113,Tchogha Zanbil,1979,Cultural,Iran (Islamic Republic of)
114,Persepolis,1979,Cultural,Iran (Islamic Republic of)
115,Meidan Emam - Esfahan,1979,Cultural,Iran (Islamic Republic of)
116,Old Towns of Djenné,1988,Cultural,Mali
119,Timbuktu,1988,Cultural,Mali
120,Sagarmatha National Park,1979,Natural,Nepal
121,Kathmandu Valley ,1979,Cultural,Nepal
124,Historic Town of Ouro Preto,1980,Cultural,Brazil
125,Natural and Culturo-Historical Region of Kotor,1979,Cultural,Montenegro
129,Maya Site of Copan,1980,Cultural,Honduras
130,?al Saflieni Hypogeum,1980,Cultural,Malta
131,City of Valletta,1980,Cultural,Malta
132,Megalithic Temples of Malta,1980,Cultural,Malta
134,Redwood National and State Parks,1980,Natural,United States of America
135,Fortifications on the Caribbean Side of Panama: Portobelo-San Lorenzo,1980,Cultural,Panama
136,Garamba National Park,1980,Natural,Democratic Republic of the Congo
137,Kahuzi-Biega National Park,1980,Natural,Democratic Republic of the Congo
138,Archaeological Ruins at Moenjodaro,1980,Cultural,Pakistan
139,Taxila,1980,Cultural,Pakistan
140,Buddhist Ruins of Takht-i-Bahi and Neighbouring City Remains at Sahr-i-Bahlol,1980,Cultural,Pakistan
143,Historical Monuments at Makli - Thatta,1981,Cultural,Pakistan
144,Ruins of Kilwa Kisiwani and Ruins of Songo Mnara,1981,Cultural,United Republic of Tanzania
145,Los Glaciares National Park,1981,Natural,Argentina
147,Kakadu National Park,1981,Mixed,Australia
148,Old City of Jerusalem and its Walls,1981,Cultural,Jerusalem (Site proposed by Jordan)
149,Archaeological Park and Ruins of Quirigua,1981,Cultural,Guatemala
150,Mammoth Cave National Park,1981,Natural,United States of America
151,Olympic National Park,1981,Natural,United States of America
153,Niokolo-Koba National Park,1981,Natural,Senegal
154,Great Barrier Reef,1981,Natural,Australia
